#
1טער קאפיטעל	CHAPTER I .
	In any case , you were to come home at the end of September , and I must now entreat you to return as quickly as possible , for if you spent all your money it would be out of my power to send you any more , and you must not borrow of the Langens , for I could not repay them .
זי אין אויפגעצויגען געווארען אין גרעסטען וואוילטאג , איהר גאנץ לעבעןאיז געווען בלויז פרייד און גליק .	This is the sad truth , my child -- I wish I could prepare you for it better -- but a dreadful calamity has befallen us all . You know nothing about business and will not understand it ; but Grapnell & Co. have failed for a million , and we are totally ruined -- your aunt Gascoigne as well as I , only that your uncle has his benefice , so that by putting down their carriage and getting interest for the boys , the family can go on .
	All the property our poor father saved for us goes to pay the liabilities .
	There is nothing I can call my own .
	It is better you should know this at once , though it rends my heart to have to tell it you .
און איצט  ?	Of course we can not help thinking what a pity it was that you went away just when you did . But I shall never reproach you , my dear child ; I would save you from all trouble if I could .
הונגערן  ?	On your way home you will have time to prepare yourself for the change you will find . We shall perhaps leave Offendene at once , for we hope that Mr. Haynes , who wanted it before , may be ready to take it off my hands .
	Of course we can not go to the rectory -- there is not a corner there to spare .
אויסגעהז נאך אשטיקעל ברויט ל .	We must get some hut or other to shelter us , and we must live on your uncle Gascoigne 's charity , until I see what else can be done . I shall not be able to pay the debts to the tradesmen besides the servants ' wages .
.	Summon up your fortitude , my dear child ; we must resign ourselves to God 's will . But it is hard to resign one 's self to Mr. Lassman 's wicked recklessness , which they say was the cause of the failure .
	Your poor sisters can only cry with me and give me no help .
.	If you were once here , there might be a break in the cloud -- I always feel it impossible that you can have been meant for poverty . If the Langens wish to remain abroad , perhaps you can put yourself under some one else 's care for the journey .
	But come as soon as you can to your afflicted and loving mamma,
#
א קליינע וויילע איז זי אזוי געשטאנען און פון ארט זיך נישט געריהרט .	
זי האט מיט כעס אראפגעריסען פון זיך דעם וואואל און אוועקגעשליירערטאון נישט ווילענדיג האט זי געכאפט א קוק אין שפיעגעל .	
איהרע גרויסע ,שעהנע צעפ האבען אזוי אראפגעהאנגען .	
אלע מאל ווען זי איז פאר'ןשפיעגעל געשטאנען און געזעהן איהרעשעהנע , שווערע צעפ , האט זי געטאנצט פאר פרייד .	
איצט אבער איז איהרדאס אלץ נישט איינגעגאנגען .	
זי האט זיך א ווארף געטהאן אויף דערזאפא און גענומען לייענען דעם גריעף איינמאל און נאכאמאל . זי איזשטארק בייז געווארען און איהם אוועקגעווארפען און אזוי איז זיגעבליבען ליגען אויף דער זאפא .	FANNY DAVILOW .
זי האט נישט געוויינט , נישט געקלאגט ,קיין זיפץ אפילו נישט ארויסגעלאזט .	
#
— ניין עס טאר אזוי נישט זיין — האט זי בעשלאסען , — מיט וויינען אוןקלאגען וועט זי גאר נישט העלפען .	The first effect of this letter on Gwendolen was half-stupefying . The implicit confidence that her destiny must be one of luxurious ease , where any trouble that occurred would be well clad and provided for , had been stronger in her own mind than in her mamma 's , being fed there by her youthful blood and that sense of superior claims which made a large part of her consciousness .
זארגען בריינגט אויך קיין גוטעס נישט .	It was almost as difficult for her to believe suddenly that her position had become one of poverty and of humiliating dependence , as it would have been to get into the strong current of her blooming life the chill sense that her death would really come . She stood motionless for a few minutes , then tossed off her hat and automatically looked in the glass .
מען דארף זיך נעהמען אין די הענד אריין און זעהן טהאן עפעס , געפינעןאן עצה .	The coils of her smooth light-brown hair were still in order perfect enough for a ball-room ; and as on other nights , Gwendolen might have looked lingeringly at herself for pleasure ( surely an allowable indulgence ) ; but now she took no conscious note of her reflected beauty , and simply stared right before her as if she had been jarred by a hateful sound and was waiting for any sign of its cause .
	By-and-by she threw herself in the corner of the red velvet sofa , took up the letter again and read it twice deliberately , letting it at last fall on the ground , while she rested her clasped hands on her lap and sat perfectly still , shedding no tears .
	Her impulse was to survey and resist the situation rather than to wail over it .
	There was no inward exclamation of `` Poor mamma !
	`` Her mamma had never seemed to get much enjoyment out of life , and if Gwendolen had been at this moment disposed to feel pity she would have bestowed it on herself -- for was she not naturally and rightfully the chief object of her mamma 's anxiety too ?
	But it was anger , it was resistance that possessed her ; it was bitter vexation that she had lost her gains at roulette , whereas if her luck had continued through this one day she would have had a handsome sum to carry home , or she might have gone on playing and won enough to support them all .
	Even now was it not possible ?
	She had only four napoleons left in her purse , but she possessed some ornaments which she could sell : a practice so common in stylish society at German baths that there was no need to be ashamed of it ; and even if she had not received her mamma 's letter , she would probably have decided to get money for an Etruscan necklace which she happened not to have been wearing since her arrival ; nay , she might have done so with an agreeable sense that she was living with some intensity and escaping humdrum .
